meanRMSE,sdRMSE,method,swapRate,bagSize,dataset
76.5149968872132,27.5084031159981,LM AggOut,0,3,machine
68.1117942701028,24.4099068923452,LM Control,0,3,machine
67.3697098285548,21.730361780127,LM Supervised,0,3,machine
81.3201372471776,41.2061543222107,KNN AggOut,0,3,machine
126.916379151227,46.8702277959421,SVR AggOut,0,3,machine
72.401749284286,22.5295263850185,LM AggOut,0.05,3,machine
71.5413608023482,35.1060096028714,LM Control,0.05,3,machine
68.0448760406656,25.0879316550478,LM Supervised,0.05,3,machine
88.3652687617112,49.3861593906426,KNN AggOut,0.05,3,machine
127.244683546533,51.8054936626789,SVR AggOut,0.05,3,machine
70.3328349370566,21.9158058644794,LM AggOut,0.1,3,machine
78.6469545242686,39.2459146978281,LM Control,0.1,3,machine
66.8179000189161,21.8068383226866,LM Supervised,0.1,3,machine
97.487081466175,49.3871926779655,KNN AggOut,0.1,3,machine
129.143345025439,50.7329164749595,SVR AggOut,0.1,3,machine
73.9869251476369,19.7654454407096,LM AggOut,0.2,3,machine
95.5387645577261,36.1497952771004,LM Control,0.2,3,machine
71.5470745842683,24.0806575387491,LM Supervised,0.2,3,machine
115.982939459933,42.208687485789,KNN AggOut,0.2,3,machine
133.122988953957,42.7744637016719,SVR AggOut,0.2,3,machine
72.5541332060769,21.5896572231553,LM AggOut,0.4,3,machine
106.260941830629,40.039001209369,LM Control,0.4,3,machine
67.5079007022306,23.4512391647582,LM Supervised,0.4,3,machine
124.929245042748,44.4239847036995,KNN AggOut,0.4,3,machine
133.351299788696,48.5426152945017,SVR AggOut,0.4,3,machine
69.9211494123618,18.3407569019697,LM AggOut,1,3,machine
111.271560965228,41.1547079252984,LM Control,1,3,machine
66.2160289591723,19.925985748784,LM Supervised,1,3,machine
127.352013880841,46.9897976998018,KNN AggOut,1,3,machine
135.182789535703,48.3515818052253,SVR AggOut,1,3,machine
73.079518882552,22.6292710249397,LM AggOut,2,3,machine
113.304984343974,41.0364085934724,LM Control,2,3,machine
68.132476868601,20.7405832096139,LM Supervised,2,3,machine
130.636381968169,45.7719362602536,KNN AggOut,2,3,machine
135.440107415747,46.5340597393828,SVR AggOut,2,3,machine
75.9474408095341,35.686768956192,LM AggOut,0,5,machine
67.2044052226446,24.8388919010166,LM Control,0,5,machine
67.3102947851818,21.1704478305307,LM Supervised,0,5,machine
79.1331054000922,39.1992024641364,KNN AggOut,0,5,machine
129.475279849571,43.1611419066795,SVR AggOut,0,5,machine
73.215065843548,23.9746445529249,LM AggOut,0.05,5,machine
71.8255844637204,36.2650624872723,LM Control,0.05,5,machine
69.0509541107833,25.2263150062985,LM Supervised,0.05,5,machine
89.0330556550229,52.5023378522681,KNN AggOut,0.05,5,machine
129.036251709111,50.8232322774349,SVR AggOut,0.05,5,machine
74.5204321624898,24.9155091976506,LM AggOut,0.1,5,machine
85.3881560038304,42.5845092082834,LM Control,0.1,5,machine
68.495788240569,21.515580124602,LM Supervised,0.1,5,machine
103.736744724854,51.7158803546339,KNN AggOut,0.1,5,machine
130.255903785305,50.6206973595078,SVR AggOut,0.1,5,machine
77.3857820603928,28.3139648123688,LM AggOut,0.2,5,machine
95.2240473656903,41.2709414214965,LM Control,0.2,5,machine
69.4849438727294,24.5640328513908,LM Supervised,0.2,5,machine
110.987820431276,48.8941320273801,KNN AggOut,0.2,5,machine
132.89026653676,50.2683078952443,SVR AggOut,0.2,5,machine
74.450142395636,23.1981674918871,LM AggOut,0.4,5,machine
117.192077653334,43.0513157196627,LM Control,0.4,5,machine
67.6302101586681,21.7595236919201,LM Supervised,0.4,5,machine
130.234715707398,46.9380249281043,KNN AggOut,0.4,5,machine
137.088595254529,47.6085474211099,SVR AggOut,0.4,5,machine
87.2541185708056,37.255916281818,LM AggOut,1,5,machine
128.66390264148,42.8740986731517,LM Control,1,5,machine
69.2777811793002,24.4788192544137,LM Supervised,1,5,machine
139.236836570001,46.8072280397512,KNN AggOut,1,5,machine
139.74138040385,46.6848733974045,SVR AggOut,1,5,machine
82.564518111269,33.9160236182665,LM AggOut,2,5,machine
128.317842689848,47.4768784504801,LM Control,2,5,machine
67.7786094519533,23.2877752918785,LM Supervised,2,5,machine
138.953118052155,49.4580384767887,KNN AggOut,2,5,machine
138.316637721237,51.1045079898039,SVR AggOut,2,5,machine
74.2541550051131,25.8484745663908,LM AggOut,0,10,machine
69.6671337517769,32.2074576263559,LM Control,0,10,machine
67.3927987591997,21.3046045103758,LM Supervised,0,10,machine
83.8128451357794,45.3221548484454,KNN AggOut,0,10,machine
130.149460758971,41.356354592167,SVR AggOut,0,10,machine
74.9846926494746,25.1675520040711,LM AggOut,0.05,10,machine
78.1968241021704,38.0558720455916,LM Control,0.05,10,machine
67.1355794730626,25.0149159516987,LM Supervised,0.05,10,machine
92.9622792232464,52.6344824572462,KNN AggOut,0.05,10,machine
131.241129129573,49.4967521130853,SVR AggOut,0.05,10,machine
78.0537592186712,29.4444573358729,LM AggOut,0.1,10,machine
88.845518856758,41.3685767028135,LM Control,0.1,10,machine
68.6326171514665,24.8561224122284,LM Supervised,0.1,10,machine
103.173109251761,54.0200172158746,KNN AggOut,0.1,10,machine
130.880897944834,53.4581636185475,SVR AggOut,0.1,10,machine
80.6509341654906,31.5113497347506,LM AggOut,0.2,10,machine
108.610605385711,43.9344641641893,LM Control,0.2,10,machine
66.6493455965386,23.1349425514821,LM Supervised,0.2,10,machine
122.920088730877,47.8157851801388,KNN AggOut,0.2,10,machine
135.618025448746,50.2497847010598,SVR AggOut,0.2,10,machine
98.6704479182366,36.7497907204266,LM AggOut,0.4,10,machine
130.866815883135,40.2979553960687,LM Control,0.4,10,machine
67.0166212329196,20.0736042278906,LM Supervised,0.4,10,machine
138.921038734407,43.0089279106144,KNN AggOut,0.4,10,machine
141.336154676075,44.3121317298483,SVR AggOut,0.4,10,machine
99.6557256921001,38.4434576868593,LM AggOut,1,10,machine
140.854363048885,49.4344950102368,LM Control,1,10,machine
68.9288785250623,23.3594412960739,LM Supervised,1,10,machine
146.005472738236,51.2270445584372,KNN AggOut,1,10,machine
143.584562297644,50.8396795632676,SVR AggOut,1,10,machine
105.836897214547,47.4158161259417,LM AggOut,2,10,machine
140.855829194787,51.9873342312742,LM Control,2,10,machine
70.3359517098375,25.1317337772498,LM Supervised,2,10,machine
145.904220528934,53.7910437567911,KNN AggOut,2,10,machine
142.301218932477,53.5582146034633,SVR AggOut,2,10,machine
76.718214202488,27.8217202608894,LM AggOut,0,20,machine
75.9789758937082,32.2498499120422,LM Control,0,20,machine
67.4424204499469,20.2817247905404,LM Supervised,0,20,machine
97.9201141959126,46.135391575782,KNN AggOut,0,20,machine
131.125313134403,41.5024001490863,SVR AggOut,0,20,machine
76.725560627726,29.6870328947419,LM AggOut,0.05,20,machine
85.8311905147266,41.5060965163075,LM Control,0.05,20,machine
70.0299638134384,23.6201198304299,LM Supervised,0.05,20,machine
102.222638343329,54.0580593549594,KNN AggOut,0.05,20,machine
134.075616232872,48.0701370579243,SVR AggOut,0.05,20,machine
81.7249718157877,31.1172085310141,LM AggOut,0.1,20,machine
98.020714027648,43.8917138830613,LM Control,0.1,20,machine
68.6745050622488,23.4602955321211,LM Supervised,0.1,20,machine
111.129813929418,52.8044292544725,KNN AggOut,0.1,20,machine
136.399506084076,45.5506217147421,SVR AggOut,0.1,20,machine
86.0305604502185,30.2919663363542,LM AggOut,0.2,20,machine
